|,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
15648,"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ","['After weeks of steady gains,advances in mkt breadth slowe']",-0.146,QQQ,['Stock/Price Action']
15649,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,['rejected the hod...should head lower'],-0.36,AAPL,['Stock/Price Action/Bearish/Bearish Behavior']
15650,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",['completes acquisition of'],0.451,ICOA,['Corporate/M&A/M&A']
15676,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,"[""declares 'best ever' Black Friday and Cyber Monday""]",0.434,AMZN,['Corporate/Sales']
15691,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,['Hitting HOD here.'],0.609,VVUS,['Stock/Price Action/Bullish/Bullish Behavior']
15693,$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,['Up 6% and high on volume'],0.612,ISR,['Stock/Price Action/Bullish/Bullish Behavior']
15697,$FB Nice buyable intraday dip right here,['Nice buyable intraday dip right here'],0.492,FB,['Stock/Price Action/Bullish']
15712,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,['Accumulation chart continues to make new highs showing accumulation continuing to take place'],0.497,LSCC,['Stock/Price Action/Volume/Unusual high volume']
15716,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,['could see more upside'],0.546,SAVE,['Stock/Price Action/Bullish']
15719,$GOOG resistance turned support?  It,['resistance turned support?'],0.34,GOOG,['Stock/Technical Analysis']
15720,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,['calls are +35% since entry'],0.519,CRM,['Stock/Price Action/Bullish/Bullish Behavior']
15726,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,['Current holdings via options - Long'],0.635,V,['Stock/Options']
15729,$AAPL I am big OUT from this. seems its falling towards 530.. :(,['seems its falling towards'],-0.639,AAPL,['Stock/Price Action/Bearish']
15730,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,['Momentum building for breakout trigger ! Long setup'],0.592,PKT,['Stock/Price Action/Bullish/Bullish Behavior']
15732,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,['short term consolidation then movement higher'],0.231,NFLX,['Stock/Price Action']
15749,$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,['Can go much higher if it can break above'],0.171,UUP,['Stock/Price Action/Bullish/Bullish Behavior']
15751,$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,['volatility is back'],-0.223,VXX,['Market/Volatility]
15753,$brcm raises revenue forecast,['raises revenue forecast'],0.367,BRCM,['Corporate/Financial/Financial Results/Earnings/Company Guidance']
15754,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,"[""Sounds like we'll see some green tomorrow.""]",0.395,BBRY,['Stock/Price Action/Bullish']
15755,$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,['Daily technical indicators are bullish'],0.516,ASTX,['Stock/Technical Analysis']
15758,$EDU bouncing nicely after add-on (posted),['bouncing nicely'],0.437,EDU,['Stock/Price Action/Bullish/Bullish Behavior']
15763,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,['breakout above $29.83 would constitute a technical entry'],0.389,YHOO,['Stock/Technical Analysis']
15767,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,['BULLISH Engulfing'],0.551,KO,['Stock/Technical Analysis']
15769,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,['buy programs poppin'],0.529,SPY,['Stock/Price Action/Bullish/Bullish Behavior']
15775,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",['LOOKS like we are bouncing'],0.391,JE,['Stock/Price Action/Bullish/Bullish Behavior']
15777,$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,['the weakest sector this year and possible false breakout'],-0.458,XLB,['Stock/Price Action']
15778,"$TYC just about to break out to new highs, lots of technicals looking great right now.",['just about to break out to new highs'],0.602,TYC,['Stock/Price Action/Bullish']
15779,"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",['at pivot area on intraday chart'],0.128,AAPL,['Stock/Technical Analysis']
15783,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",['All time high tomorrow?'],0.297,SPY,['Stock/Price Action/Bullish/Bullish Behavior']
15784,$SPY wouldn't be surprised to see a green close,"[""wouldn't be surprised to see a green close""]",0.416,SPY,['Stock/Price Action/Bullish']
15797,@Vegastrader66 Looks like good entry for $QIHU here.,['Looks like good entry'],0.453,QIHU,['Stock/Signal/Buy Signal']
15810,$INO back in this am small post,['back in this am small post'],0.554,INO,['Stock/Price Action/Bullish/Bull Position']
15812,"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",['Inverse Head and Shoulders forming'],0.394,BBRY,['Stock/Technical Analysis']
15817,$LINE biggies must be loading up here at lows..,['biggies must be loading up here at lows..'],0.438,LINE,['Stock/Price Action/Bullish/Bullish Behavior']
15824,$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,['is looking weak while this market is moving higher not a good sign'],-0.398,GS,['Stock/Price Action/Bearish/Bearish Behavior']
15826,Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,['Key level to watch'],-0.042,FB,['Stock/Technical Analysis']
15843,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",['I was buying when everyone was selling'],0.531,YNDX,['Stock/Price Action/Bullish']
15844,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",['Red Daily Triangle'],0.661,SHOR,['Stock/Technical Analysis']
15848,@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,['had a big GROWING success for years'],0.295,AAPL,['Corporate/Reputation']
15852,EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,['Launches Origin Online Game Distribution for Mac'],0.121,EA,['Corporate/Strategy/New Product']
15863,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,['UPGRADE today by MS to overweight.'],0.685,ETN,['Stock/Coverage/AnalystRatings/Upgrade']
15874,"$AAPL double bottom could be in, keep in mind",['double bottom could be in'],0.271,AAPL,['Stock/Price Action/Bullish/Bullish Behavior']
15879,@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,['This time I think $AAPL will miss again'],-0.363,AAPL,['Corporate/Financial/Financial Results/Earnings/Earnings miss']
15881,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",['Full bull call spread ranging July to Jan'],0.681,AMRN,['Stock/Options/Strategies/Bull Call Spread']
15888,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,['finished a great yr w 28% plus!'],0.319,FB,['Stock/Price Action/Bullish/Bullish Behavior']
15892,@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,['Breakout coming Monday'],0.478,UNXL,['Stock/Technical Analysis/Breakout']
15894,"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""","['ales exceed target, profitability guidance amended upward']",0.526,TSLA,['Corporate/Sales']
15901,"Long Position on $GOL,...Updating http://stks.co/fdmm",['Long Position'],0.674,GOL,['Stock/Price Action/Bullish/Bull Position']
15905,$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,['got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower'],-0.538,SMH,['Stock/Signal/Sell Signal']
15908,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,['up 33% since 6/25 buy signa'],0.552,OSUR,['Stock/Signal/Buy Signal']
15918,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,['chart rolling over'],-0.287,SPY,['Stock/Technical Analysis']
15921,$NFLX +3% of the lows,['of the lows'],0.323,NFLX,['Stock/Price Action/Bullish/Bullish Behavior']
15926,$SBUX getting sold here.,['getting sold here.'],-0.551,SBUX,['Stock/Price Action/Bearish/Bearish Behavior']
15936,$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,['making the big added efficiency argument. betting on operational imporvement in a huge conglomerate'],0.116,PG,['Corporate/Strategy/Business Model']
15938,$RIMM $spx $nya $compq $djia all going down,['all going down'],-0.559,SPX,['Stock/Price Action/Bearish']
15939,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",['shorts are getting nervous'],0.366,ZNGA,['Stock/Price Action/Bullish']
15957,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,['Will be looking to add shares if we get a new high breakout.'],0.421,OCN,['Stock/Price Action/Bullish/Bull Position']
15962,$BBRY hearing rumours of a major joint venture announcement.,['hearing rumours of a major joint venture announcement'],0.427,BBRY,['Corporate/Rumors']
15980,$AAPL Good time to buy. Will the run come before earnings or after?,['Good time to buy.'],0.533,AAPL,['Stock/Price Action/Bullish']
16004,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",['congrats shorts'],-0.494,QIHU,['Stock/Price Action/Volatility/Short Selling']
16005,$UVXY Put the chum out there at key support then next level down - careful,['Put the chum out there at key support then next level down - careful'],-0.32,UVXY,['Stock/Price Action/Bearish']
16006,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,['Entering long'],0.627,LMT,['Stock/Price Action/Bullish/Bull Position']
16010,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,['possible double bottom set up'],0.272,GLD,['Stock/Technical Analysis']
16011,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",['Key price to watch'],-0.341,NFLX,['Stock/Technical Analysis']
16012,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,['Tomorrow party time for the Bears'],-0.454,SPY,['Stock/Price Action/Bearish']
16014,"$SLV -4.44% at 18 now AWFUL, down from 42.50","['AWFUL, down from 42.50']",-0.591,SLV,['Stock/Price Action/Bearish']
16015,$SPY c'mon bulls buy DIPS!,"[""c'mon bulls buy DIPS!""]",0.228,SPY,['Stock/Price Action/Bullish']
16019,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,['chart shows distinctive down channel'],-0.443,SPY,['Stock/Technical Analysis']
16026,$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,['Making higher highs & higher lows'],0.478,DXCM,['Stock/Price Action/Bullish/Bullish Behaviour']
16028,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",['breaks major support'],-0.455,QQQ,['Stock/Price Action']
16031,$CRUS Upgraded to a buy by Alpha Street Research,['Upgraded to a buy'],0.715,CRUS,['Stock/Coverage/AnalystRatings/Upgrade']
16039,"$NFLX small pos, short 180 wkly puts.","['small pos, short 180 wkly puts.']",-0.597,NFLX,['Stock/Options/Strategies/Bear Put Spread']
16040,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,['I see more downside in next two weeks'],-0.477,TSLA,['Stock/Price Action/Bearish']
16044,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,['Big Money Is Pouring Into'],0.645,FB,['Stock/Price Action/Bullish']
16048,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,['#lost revenue in the range of $12 million to $17 million -not good'],-0.43,LULU,['Corporate/Sales']
16054,@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,['the potential of QNX BES10 and BBM  cross platform'],0.284,BBRY,['Corporate/Strategy/New Product']
16058,$NUGT longer term bullish,['longer term bullish'],0.814,NUGT,['Stock/Price Action/Bullish']
16059,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",['Increases Quarterly Cash Dividend'],0.576,QCOR,['Corporate/Dividend Policy']
16061,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,['Still not breaking out'],0.093,PAY,['Stock/Price Action']
16066,$SPY  still wants higher I think.,['still wants higher I think'],0.448,SPY,['Stock/Price Action/Bullish']
16079,$BBRY lets see 14+ today,['lets see 14+ today'],0.302,BBRY,['Stock/Price Action/Future Price/Direction']
16083,$DCTH Near HOD,['Near HOD'],0.366,DCTH,['Stock/Price Action/Bullish/Bullish Behavior']
16084,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,['evenue growing over 30%'],0.454,MSFT,['Corporate/Sales']
16085,$GTE LONG at 7.44,['LONG at'],0.732,GTE,['Stock/Price Action/Bullish/Bull Position']
16089,$DARA breaking out,['breaking out'],0.427,DARA,['Stock/Price Action/Bullish']
16094,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,['S1 above gap. keeping an eye on S2'],0.346,TSLA,['Stock/Price Action/Bullish']
16100,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",['Sell Short Position on'],0.155,CNP,['Stock/Price Action/Volatility/Short Selling']
16102,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,['lost .03c per share'],-0.238,BBRY,['Corporate/Financial/Financial Results/Earnings']
16103,$BBRY nice bounce,['nice bounce'],0.296,BBRY,['Stock/Price Action/Bullish']
16108,"$DNN picked some up, like this going into 2014","['picked some up, like this going into 2014']",0.653,DNN,['Stock/Price Action/Bullish/Bull Position']
16110,$NUGT Gold above 1400...wow,['Gold above 1400...wow'],0.424,NUGT,['Stock/Price Action/Bullish']
16111,$BBRY Ready for Take OFF!,['Ready for Take OFF!'],0.472,BBRY,['Stock/Price Action/Bullish']
16112,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,['VERY HIGH PROBABILITY OF RALLYING TOMORROW'],0.72,VOLC,['Stock/Price Action/Bullish']
16121,"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL","['high volume blast off Friday, goes higher']",0.565,YOKU,['Stock/Price Action/Bullish/Bullish Behavior']
16132,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,['key is to breakout above 460 on solid volume'],0.123,AAPL,['Stock/Technical Analysis/Breakout']
16133,$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,['bumping its head on declining daily 8ma as overhead resistance'],-0.35,SPY,['Stock/Price Action/Bullish/Bullish Behavior']
16141,"Long Position on $IP,....Scaling UP http://stks.co/sIln",['Long Position'],0.662,IP,['Stock/Price Action/Bullish/Bull Position']
16142,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,"[""Lot's of sellers trying to get out.""]",-0.215,FB,['Stock/Price Action/Bearish/Bearish Behavior']
16144,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,['Bearish Trader bets $550K that Stock Will Sell Off'],-0.493,BA,['Stock/Price Action/Bearish/Bear Position']
16154,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.","['eports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.']",0.365,TXRH,['Corporate/Financial/Financial Results/Earnings']
16156,"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?","['is now beaten down, hated']",-0.303,AAPL,['Stock/Price Action/Bearish/Bearish Behavior']
16160,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,['Nice pop today. Told ya we would be green haha'],0.404,NOK,['Stock/Price Action/Bullish/Bullish Behavior']
16161,$AMCN pushing highs,['pushing highs'],0.543,AMCN,['Stock/Price Action/Bullish/Bullish Behavior']
16163,@pierrules: $SIRI LONG!!,['LONG!!'],0.759,SIRI,['Stock/Price Action/Bullish/Bull Position']
16164,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,['SUSPECT TO TAKE HIGHS'],0.442,FB,['Stock/Price Action/Bullish/Bullish Behavior']
16166,$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,['Currently it is the shorts rejoicing'],-0.54,AMRN,['Stock/Price Action']
16176,"$CNDO 21% short float, shorts likely to take profits into close",['shorts likely to take profits into close'],-0.327,CNDO,['Stock/Price Action/Current Price/Oversold']
16177,$RNN staying above the open a very good sign!!!,['staying above the open a very good sign!!!'],0.551,RNN,['Stock/Price Action/Bullish/Bullish Behavior']
16178,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,"[""Watch these bancos.they're holding up relatively well""]",0.394,XLF,['Stock/Price Action']
16190,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),['1click away from a cliff drop'],-0.337,CAT,['Stock/Price Action/Bearish/Bearish Behavior']
16200,$PRGN A bottom right here?,['A bottom right here?'],0.041,PRGN,['Stock/Price Action']
16202,"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",['Less than 0.2% down and people are calling it bearish. Some heading for exits already'],-0.148,SPY,['Stock/Price Action']
16203,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",['bull flag on the daily'],0.335,P,['Stock/Price Action/Bullish']
16204,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,['Momentum slowing after a huge run.'],0.124,AAPL,['Stock/Price Action']
16213,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,['A potential bearish shark pattern'],-0.326,V,['Stock/Technical Analysis']
16215,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,['Trailing 12 months operating cash flow'],-0.009,AMZN,['Corporate/Financial/Accounting/Cash Flow']
16217,"$RNN day traders flushed out, it should start going up slowly from now on .",['it should start going up slowly from now on'],0.411,RNN,['Stock/Price Action/Bullish']
16220,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,['descending triangle breakdown'],-0.382,IWM,['Stock/Technical Analysis']
16223,$YELP This goes green and so many shorts are toast!,['This goes green and so many shorts are toast!'],0.463,YELP,['Stock/Price Action/Bullish']
16224,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,['Still not technically oversold so now big bounce yet'],-0.046,MU,['Stock/Technical Analysis']
16227,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,['Got sell signal'],-0.431,AMRN,['Stock/Signal/Sell Signal']
16228,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",['Going lower. Forget about it or go short.'],-0.631,SLV,['Stock/Price Action/Bearish/Bearish Behavior']
16238,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,['New recommendation from Carl Kirst of BMO Capital Markets for'],0.566,WMB,['Stock/Coverage/AnalystRatings']
16239,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,['Inside week buy triggers'],0.485,LOCO,['Stock/Technical Analysis']
16270,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",['get ready for suspended dividend'],-0.023,RIG,['Corporate/Dividend Policy']
16271,$AAPL Nice RSI 33 bounce at 9:58,['Nice RSI 33 bounce'],0.291,AAPL,['Stock/Technical Analysis']
16284,"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.","[""took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.""]",-0.334,AXDX,['Stock/Price Action/Bearish']
16287,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,['Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report.'],0.577,NFLX,['Stock/Price Action/Bullish']
16298,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,['short boat is getting full on this one'],-0.262,IWM,['Stock/Price Action/Bearish']
16306,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,['time to take some profits here'],-0.169,INO,['Stock/Price Action/Bearish']
16309,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",['big trader added 10000 April put contracts'],-0.576,MAT,['Stock/Options/Unusual Put Activity']
16311,$FTI Breakout today after reporting earnings last night,['Breakout today'],0.554,FTI,['Stock/Technical Analysis/Breakout']
16321,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",['so today’s strong results came as a major surprise'],0.338,KO,['Corporate/Financial/Financial Results/Earnings/Earnings Beat']
16337,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,['Nice buy signals here!'],0.527,COH,['Stock/Signal/Buy Signal']
16344,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,['mrkt needs to washout. to hunt well need 2 wait stalk.'],-0.055,TWTR,['Stock/Price Action']
16347,$RAD All my charts are flashing oversold.,['All my charts are flashing oversold.'],-0.011,RAD,['Stock/Price Action/Current Price/Oversold']
16363,$RSOL bought 3500 shares today!,['bought 3500 shares today!'],0.738,RSOL,['Stock/Price Action/Bullish/Bull Position']
16364,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,['long steady small climbs'],0.484,ARIA,['Stock/Price Action/Bullish/Bullish Behaviour']
16373,$CAMT Looks like might break down. I'm out,"[""Looks like might break down. I'm out""]",-0.516,CAMT,['Stock/Price Action/Bearish/Bearish Behaviour']
16395,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,['Seems like a good short setup'],-0.338,ATHN,['Stock/Price Action/Volatility/Short Selling']
16396,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,['Market getting crushed today'],-0.302,KIOR,['Market/Market']
16398,$AAPL  downgrade is bias. This stock is a buy.,['This stock is a buy.'],0.498,AAPL,['Stock/Price Action/Bullish']
16399,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,['Revenue Up Nearly 50%'],0.423,LNKD,['Corporate/Financial/Financial Results/Earnings']
16403,$PLUG bear raid,['bear raid'],-0.48,PLUG,['Stock/Price Action/Bearish']
16405,$GPRO down 25% since Tue morning.,['down 25% since Tue morning.'],-0.527,GPRO,['Stock/Price Action/Bearish']
16417,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,['Upgraded to Outperform'],0.565,ROST,['Stock/Coverage/AnalystRatings/Upgrade']
16433,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,['Bounce Player!'],0.383,ARIA,['Stock/Price Action/Bullish/Bullish Behavior']
16435,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",['letting the RSI take a breather.'],0.362,TSLA,['Stock/Technical Analysis']
16438,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,['company is on the right track they are still improving sales'],0.401,RAD,['Corporate/Sales/Sales']
16440,$GTAT Will re-enter short on bounce...,['Will re-enter short on bounce...'],-0.46,GTAT,['Stock/Price Action/Bearish']
16450,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,['Ascending triangle gives a bullish bias to this chart'],0.544,TROW,['Stock/Technical Analysis']
16464,$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,['MACD and ADX are crossing over the signal lines! Long Setup'],0.569,AEGN,['Stock/Signal/Buy Signal']
16465,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,['large players are selling'],-0.507,INO,['Stock/Price Action/Volatility/Selling Pressure']
16468,$RNN More bleeding Monday.,['More bleeding Monday.'],-0.465,RNN,['Stock/Price Action/Bearish']
16476,$PLUG Closed short position. Small gain. Not interested in options expiring worthless,['Closed short position. Small gain.'],0.143,PLUG,['Stock/Price Action/Volatility/Short Selling']
16477,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,['still having some trouble at the resistance line'],0.071,UBNT,['Stock/Price Action']
16483,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,['this stock slowly falling everyday'],-0.264,TWTR,['Stock/Price Action/Bearish/Bearish Behaviour']
16491,$MXWL Oh snap. Just went long again. LT,['Just went long again'],0.691,MXWL,['Stock/Price Action/Bullish/Bull Position']
16493,$HRL ready to pop! http://stks.co/s0Ny4,['ready to pop!'],0.336,HRL,['Stock/Price Action/Bullish']
16501,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,['SUPER overbought.'],-0.497,OFIX,['Stock/Price Action/Bearish']
16505,$FB i guess they want it down look at the those sell orders,['guess they want it down look at the those sell orders'],-0.465,FB,['Stock/Price Action/Bearish/Bearish Behaviour']
16506,@ACInvestorBlog: $SPY eod run :),['eod run :)'],0.391,SPY,['Stock/Price Action/Bullish/Bullish Behavior']
16513,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,['did not break 10.40 coz I was told that is key support level.'],0.145,BBRY,['Stock/Price Action']
16517,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,['slid to a four-year low'],-0.369,WTI,['Stock/Price Action/Bearish/Bearish Behavior']
16525,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,['bounce here on support or H&S setup this area is very important for bulls'],0.374,CDTI,['Stock/Price Action']
16526,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,['Price experiencing early rejection'],-0.228,LNKD,['Stock/Price Action/Bearish']
16536,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,['reiterated a HOLD rating'],0.214,NTAP,['Stock/Coverage/AnalystRatings']
16555,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,['Testing the 200 day after some consolidation'],0.285,GOOG,['Stock/Technical Analysis']
16569,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,['Receives a Sell from'],-0.45,WAC,['Stock/Coverage/AnalystRatings/Downgrade']
16587,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",['technical swing long basis'],0.591,TWTR,['Stock/Technical Analysis']
16588,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",0.054,HAL,['Stock/Price Action/Bullish/Bullish Behavior']
